ANON_ID,Birthdate,Gen,Eth_2122,Fluency_2122,SpEd_2122,Grade_2122,AttRate_2122,DaysEnr_2122,DaysAbs_2122,Susp_2122,CurrWeightedTotGPA_2122,SED_2122,School Name,Zip_2122
4501,2004-09-10,M,Latino,EO,Not Special Ed,12,0.8611,180.0,25.0,,2.25,SED,Castlemont,
4866,2004-02-11,F,Latino,RFEP,Not Special Ed,12,0.8778,180.0,22.0,,1.43,SED,Castlemont,
5109,2002-12-02,M,Latino,EL,Not Special Ed,12,0.1304,23.0,20.0,,0.0,Not SED,Castlemont,
5156,2005-07-14,M,Latino,EL,Not Special Ed,10,0.7444,180.0,46.0,,2.43,Not SED,Castlemont,
5241,2004-10-10,F,Latino,EL,Not Special Ed,9,0.9752,161.0,4.0,,2.88,SED,Castlemont,
5243,2007-03-29,F,Latino,EL,Not Special Ed,9,0.8807,176.0,21.0,,0.71,SED,Castlemont,
5327,2005-09-18,M,Latino,EL,Special Ed,11,0.8966,58.0,6.0,,0.0,SED,Castlemont,
5407,2006-09-06,F,Latino,EL,Not Special Ed,9,0.9255,161.0,12.0,,3.0,SED,Castlemont,
5431,2007-05-03,F,Latino,EL,Not Special Ed,9,0.5556,36.0,16.0,,0.0,SED,Castlemont,
5528,2004-10-05,M,Latino,EL,Not Special Ed,11,0.6364,22.0,8.0,,1.0,Not SED,Castlemont,
5630,2004-05-06,M,African American,EO,Special Ed,11,0.8889,180.0,20.0,,3.43,SED,Castlemont,
5652,2007-09-14,M,African American,EO,Not Special Ed,9,0.8623,167.0,23.0,,2.14,SED,Castlemont,
5661,2004-02-14,M,Latino,RFEP,Not Special Ed,12,0.85,180.0,27.0,,3.25,SED,Castlemont,
5858,2005-05-18,M,Latino,TBD,Not Special Ed,9,0.6774,93.0,30.0,,0.0,Not SED,Castlemont,
5862,2004-08-04,F,Latino,EL,Not Special Ed,11,0.9167,180.0,15.0,,2.25,SED,Castlemont,
5869,2004-09-30,F,Latino,EL,Not Special Ed,9,1.0,37.0,0.0,,0.0,Not SED,Castlemont,
5877,2004-10-28,M,African American,EO,Special Ed,12,0.1889,180.0,146.0,,0.0,SED,Castlemont,
5914,2007-05-06,F,Latino,EL,Not Special Ed,9,0.9268,164.0,12.0,,2.75,SED,Castlemont,
6055,2004-06-27,M,Latino,EL,Not Special Ed,12,0.5,180.0,90.0,,0.67,SED,Castlemont,
6164,2005-02-14,M,African American,EO,Special Ed,11,0.2179,78.0,61.0,,0.0,SED,Castlemont,
6168,2007-01-19,M,African American,EO,Special Ed,9,0.1056,180.0,161.0,,0.0,SED,Castlemont,
6268,2007-04-18,F,African American,EO,Not Special Ed,9,0.8507,67.0,10.0,,0.0,Not SED,Castlemont,
6313,2006-02-01,M,Latino,RFEP,Not Special Ed,10,0.5389,180.0,83.0,,1.14,SED,Castlemont,
6368,2004-06-02,M,Native American,EL,Not Special Ed,11,0.3889,180.0,110.0,,0.33,SED,Castlemont,
6374,2005-09-17,M,Latino,EO,Special Ed,10,0.7333,180.0,48.0,,1.0,SED,Castlemont,
6442,2006-11-16,M,Latino,EL,Not Special Ed,9,0.8475,177.0,27.0,,0.33,SED,Castlemont,
6616,2003-11-20,M,African American,EO,Special Ed,12,0.0,24.0,24.0,,0.0,SED,Castlemont,
6734,2007-03-20,F,Latino,EO,Not Special Ed,9,0.9218,179.0,14.0,,3.13,SED,Castlemont,
6752,2006-12-18,M,Latino,EL,Not Special Ed,9,0.9887,177.0,2.0,,3.75,SED,Castlemont,
6765,2004-09-04,M,Latino,EL,Not Special Ed,11,0.8778,180.0,22.0,,2.38,SED,Castlemont,
6766,2002-09-22,F,Latino,EL,Not Special Ed,11,0.9667,180.0,6.0,,3.29,SED,Castlemont,
6773,2004-09-27,M,Latino,EL,Not Special Ed,9,0.9799,149.0,3.0,,3.38,SED,Castlemont,
6813,2004-11-01,F,Latino,EL,Not Special Ed,11,0.65,180.0,63.0,,2.25,SED,Castlemont,
7398,2005-05-05,F,African American,EO,Special Ed,10,0.0889,180.0,164.0,,0.0,SED,Castlemont,
7425,2004-11-07,F,African American,EO,Not Special Ed,11,0.9231,156.0,12.0,,3.13,SED,Castlemont,
7488,2004-04-03,F,Filipino,EO,Not Special Ed,12,0.4438,178.0,99.0,,2.5,SED,Castlemont,
7572,2006-09-01,M,Latino,EL,Special Ed,10,0.9667,180.0,6.0,,3.63,SED,Castlemont,
7597,2005-10-21,F,Latino,EO,Not Special Ed,10,0.4103,39.0,23.0,,0.0,SED,Castlemont,
7847,2004-04-16,F,Latino,EL,Not Special Ed,11,0.8409,44.0,7.0,,0.0,SED,Castlemont,
8190,2006-04-24,M,African American,EO,Not Special Ed,10,0.2389,180.0,137.0,,0.33,SED,Castlemont,
8433,2007-03-07,F,Not Reported,EO,Special Ed,9,0.8057,175.0,34.0,,2.71,SED,Castlemont,
8470,2004-03-08,F,Latino,RFEP,Not Special Ed,12,0.7833,180.0,39.0,,2.25,SED,Castlemont,
8474,2006-11-30,M,Latino,EL,Not Special Ed,10,0.8444,180.0,28.0,,2.0,SED,Castlemont,
8475,2005-01-08,F,Latino,RFEP,Not Special Ed,11,0.8944,180.0,19.0,,3.33,SED,Castlemont,
8478,2005-01-08,F,Latino,RFEP,Not Special Ed,11,0.8944,180.0,19.0,,3.33,SED,Castlemont,
8761,2006-10-22,M,African American,EO,Special Ed,10,0.8667,180.0,24.0,,1.0,SED,Castlemont,
8852,2005-09-08,F,African American,EO,Special Ed,11,0.8611,180.0,25.0,,3.88,SED,Castlemont,
9064,2005-10-16,F,African American,EO,Special Ed,10,0.8944,180.0,19.0,1.0,1.83,SED,Castlemont,
9122,2003-10-01,M,Latino,RFEP,Not Special Ed,12,0.3514,37.0,24.0,,0.0,SED,Castlemont,
9185,2006-05-29,M,African American,EO,Special Ed,9,0.9153,59.0,5.0,,2.14,Not SED,Castlemont,
9399,2005-09-27,F,African American,EO,Not Special Ed,10,0.9091,33.0,3.0,,1.67,SED,Castlemont,
9400,2005-09-27,F,African American,EO,Not Special Ed,10,0.9091,33.0,3.0,,1.67,SED,Castlemont,
9409,2005-10-21,F,African American,EO,Not Special Ed,10,0.2484,157.0,118.0,,0.6,SED,Castlemont,
9465,2004-12-24,M,African American,EO,Special Ed,10,0.9722,180.0,5.0,,2.13,SED,Castlemont,
9837,2006-01-04,M,African American,EO,Special Ed,10,0.1444,180.0,154.0,,0.0,SED,Castlemont,
9921,2007-04-26,F,African American,EO,Special Ed,9,0.7184,174.0,49.0,,1.14,SED,Castlemont,
10075,2006-01-06,F,African American,EO,Special Ed,10,0.7753,178.0,40.0,1.0,2.75,SED,Castlemont,
10467,2006-12-05,M,Latino,EL,Not Special Ed,9,0.8814,177.0,21.0,,2.5,Not SED,Castlemont,
10625,2004-12-16,M,Latino,EL,Not Special Ed,11,0.8389,180.0,29.0,,3.0,SED,Castlemont,
10626,2004-12-16,M,Latino,EL,Not Special Ed,11,0.8389,180.0,29.0,,3.0,SED,Castlemont,
10714,2006-03-03,F,Latino,EL,Not Special Ed,9,0.7543,175.0,43.0,,1.25,SED,Castlemont,
10727,2005-06-13,M,Latino,EL,Special Ed,11,0.9722,180.0,5.0,,4.0,SED,Castlemont,
10747,2003-04-27,M,Latino,EL,Not Special Ed,12,0.5667,180.0,78.0,,1.0,SED,Castlemont,
11028,2006-03-14,M,Latino,EO,Not Special Ed,10,0.1167,180.0,159.0,,0.0,Not SED,Castlemont,
11095,2006-01-06,M,Latino,EL,Not Special Ed,9,0.959,122.0,5.0,,2.0,SED,Castlemont,
11096,2006-10-06,M,Latino,EL,Not Special Ed,9,0.959,122.0,5.0,,2.0,SED,Castlemont,
11108,2005-11-10,M,Latino,RFEP,Not Special Ed,11,0.4778,180.0,94.0,,0.38,SED,Castlemont,
11291,2007-05-18,M,Latino,EL,Not Special Ed,9,0.8,180.0,36.0,,1.88,SED,Castlemont,
11295,2007-05-18,M,Latino,EL,Not Special Ed,9,0.8,180.0,36.0,,1.88,SED,Castlemont,
11323,2004-11-11,M,Latino,TBD,Not Special Ed,10,0.8462,13.0,2.0,,2.5,Not SED,Castlemont,
11343,2004-05-11,M,Latino,EL,Not Special Ed,12,0.8111,180.0,34.0,,3.5,SED,Castlemont,
11398,2002-06-14,M,Latino,EL,Not Special Ed,12,0.9681,94.0,3.0,,3.17,Not SED,Castlemont,
11438,2005-03-17,M,Latino,TBD,Not Special Ed,9,0.9615,26.0,1.0,,0.0,Not SED,Castlemont,
11450,2005-10-11,F,Latino,EL,Not Special Ed,10,0.9338,151.0,10.0,,1.38,SED,Castlemont,
11536,2003-06-02,F,Latino,EL,Special Ed,12,0.4222,180.0,104.0,,1.5,SED,Castlemont,
11597,2004-09-21,M,African American,EO,Not Special Ed,12,0.9167,180.0,15.0,,2.25,SED,Castlemont,
11696,2005-03-22,M,Latino,EL,Not Special Ed,9,0.7683,82.0,19.0,,0.0,Not SED,Castlemont,
11697,2006-10-11,F,Latino,EL,Not Special Ed,9,0.9143,175.0,15.0,,1.29,SED,Castlemont,
11740,2007-06-02,M,Latino,EL,Not Special Ed,9,0.9444,180.0,10.0,,0.63,SED,Castlemont,
11774,2003-10-29,M,Latino,EL,Not Special Ed,10,0.9333,180.0,12.0,,3.63,SED,Castlemont,
11919,2004-12-06,F,Latino,EL,Not Special Ed,11,0.9333,180.0,12.0,,2.67,SED,Castlemont,
11930,2005-02-06,M,Latino,EL,Not Special Ed,9,0.9298,57.0,4.0,,3.63,Not SED,Castlemont,
12101,2007-11-13,M,African American,EO,Not Special Ed,9,0.9278,180.0,13.0,,2.86,SED,Castlemont,
12242,2005-01-09,M,Latino,EO,Not Special Ed,11,0.8722,180.0,23.0,,3.86,SED,Castlemont,
12337,2004-02-13,M,Latino,EL,Not Special Ed,12,0.3582,67.0,43.0,,0.0,SED,Castlemont,
12346,2004-02-04,F,Latino,RFEP,Not Special Ed,12,0.6222,180.0,68.0,,3.5,SED,Castlemont,
12347,2006-04-24,F,Latino,EL,Not Special Ed,10,0.8222,180.0,32.0,,3.13,SED,Castlemont,
12380,2007-08-06,M,Latino,EL,Special Ed,9,0.9222,180.0,14.0,,2.88,SED,Castlemont,
12381,2007-08-16,M,Latino,EL,Special Ed,9,0.9222,180.0,14.0,,2.88,SED,Castlemont,
12476,2005-05-18,M,Latino,RFEP,Not Special Ed,11,0.9444,180.0,10.0,,2.43,SED,Castlemont,
12610,2004-01-05,F,Latino,EL,Not Special Ed,10,0.2182,110.0,86.0,,0.0,SED,Castlemont,
12664,2004-05-30,M,Latino,EL,Not Special Ed,10,0.7167,180.0,51.0,1.0,0.43,SED,Castlemont,
12898,2006-02-26,M,Latino,EL,Special Ed,10,0.8222,180.0,32.0,,1.88,SED,Castlemont,
12899,2006-12-15,F,Latino,RFEP,Not Special Ed,9,0.6,20.0,8.0,,1.0,SED,Castlemont,
12906,2006-12-15,F,Latino,RFEP,Not Special Ed,9,0.6,20.0,8.0,,1.0,SED,Castlemont,
13033,2004-01-22,M,Latino,EL,Not Special Ed,9,0.9045,178.0,17.0,,3.63,SED,Castlemont,
13034,2002-01-14,M,Latino,EL,Not Special Ed,12,0.3929,56.0,34.0,,0.0,SED,Castlemont,
13058,2004-03-20,F,Latino,EL,Not Special Ed,9,0.7888,161.0,34.0,,2.25,SED,Castlemont,
13060,2006-10-17,F,Latino,EL,Not Special Ed,9,0.9223,103.0,8.0,,2.13,Not SED,Castlemont,
13140,2006-03-30,M,African American,EO,Not Special Ed,10,0.8778,180.0,22.0,,3.0,SED,Castlemont,
13163,2007-05-19,M,Asian,EO,Not Special Ed,9,0.8778,180.0,22.0,,3.14,SED,Castlemont,
13224,2003-12-03,M,Latino,EL,Not Special Ed,12,0.8889,180.0,20.0,,2.75,SED,Castlemont,
13348,2006-05-02,M,African American,EO,Not Special Ed,9,0.5254,177.0,84.0,1.0,1.13,SED,Castlemont,
13399,2004-12-05,F,African American,EO,Special Ed,11,0.9667,180.0,6.0,,3.38,SED,Castlemont,
13400,2004-12-05,F,African American,EO,Special Ed,11,0.9833,180.0,3.0,,3.88,SED,Castlemont,
13454,2005-03-25,F,Latino,RFEP,Not Special Ed,11,0.7167,180.0,51.0,,3.67,SED,Castlemont,
13462,2005-07-21,F,Latino,RFEP,Not Special Ed,11,0.9,180.0,18.0,,3.33,SED,Castlemont,
13474,2003-10-24,M,Latino,EL,Not Special Ed,12,0.3372,86.0,57.0,,0.0,SED,Castlemont,
13565,2005-06-12,F,Latino,EL,Not Special Ed,9,0.9231,52.0,4.0,,2.75,Not SED,Castlemont,
13566,2003-10-24,M,Latino,EL,Not Special Ed,12,0.3372,86.0,57.0,,0.0,SED,Castlemont,
13640,2004-04-27,M,Latino,RFEP,Not Special Ed,12,0.8778,180.0,22.0,1.0,3.0,SED,Castlemont,
13654,2003-01-16,M,Latino,RFEP,Not Special Ed,12,0.7778,180.0,40.0,,2.5,Not SED,Castlemont,
13655,2006-10-19,M,Latino,RFEP,Not Special Ed,10,0.7722,180.0,41.0,,1.0,SED,Castlemont,
13949,2003-12-11,M,African American,EL,Special Ed,12,0.1406,64.0,55.0,,0.0,SED,Castlemont,
14061,2003-12-02,M,Latino,EL,Not Special Ed,12,0.2611,180.0,133.0,,0.0,SED,Castlemont,
14083,2004-11-18,M,African American,EO,Special Ed,12,0.7833,180.0,39.0,,3.38,SED,Castlemont,
14436,2005-08-24,M,Latino,EL,Not Special Ed,9,0.6792,53.0,17.0,,0.67,Not SED,Castlemont,
14628,2004-01-08,M,Latino,EL,Not Special Ed,9,0.7709,179.0,41.0,,0.0,SED,Castlemont,
14680,2006-06-05,M,African American,EO,Special Ed,9,0.6778,180.0,58.0,,1.88,Not SED,Castlemont,
14686,2006-06-05,M,African American,EO,Special Ed,9,0.6778,180.0,58.0,,1.88,Not SED,Castlemont,
14730,2005-02-23,M,Latino,EL,Not Special Ed,11,0.9326,178.0,12.0,,3.29,SED,Castlemont,
14771,2004-09-30,F,African American,EO,Not Special Ed,12,0.9278,180.0,13.0,,3.75,SED,Castlemont,
14799,2005-06-30,M,Latino,EL,Not Special Ed,9,0.9877,81.0,1.0,,3.63,Not SED,Castlemont,
14923,2005-05-06,F,African American,EO,Not Special Ed,11,0.9167,180.0,15.0,,3.57,SED,Castlemont,
15051,2004-11-12,M,Latino,RFEP,Not Special Ed,12,0.3278,180.0,121.0,,2.25,Not SED,Castlemont,
15185,2005-03-22,F,African American,EO,Special Ed,11,0.8667,180.0,24.0,1.0,2.57,SED,Castlemont,
15324,2003-11-01,M,Latino,EL,Not Special Ed,10,0.9459,148.0,8.0,,3.88,SED,Castlemont,
15382,2005-11-12,F,African American,EO,Not Special Ed,11,0.4722,180.0,95.0,,0.57,SED,Castlemont,
15444,2005-10-14,M,African American,EO,Not Special Ed,10,0.5944,180.0,73.0,,1.14,SED,Castlemont,
15497,2004-05-05,M,Latino,EL,Not Special Ed,12,0.9611,180.0,7.0,,2.0,SED,Castlemont,
15579,2005-05-15,M,Latino,EL,Not Special Ed,11,0.9056,180.0,17.0,,1.71,SED,Castlemont,
15594,2005-02-05,F,Latino,EL,Not Special Ed,11,0.9222,180.0,14.0,,3.13,SED,Castlemont,
15595,2007-01-23,F,Latino,EL,Not Special Ed,9,0.9503,161.0,8.0,,2.13,Not SED,Castlemont,
15598,2005-06-11,M,Latino,EL,Special Ed,10,0.4101,139.0,82.0,,1.14,Not SED,Castlemont,
15603,2006-04-15,F,Latino,TBD,Not Special Ed,9,0.9091,22.0,2.0,,0.0,Not SED,Castlemont,
15690,2003-10-20,F,African American,EO,Special Ed,12,0.4565,46.0,25.0,,0.0,SED,Castlemont,
15703,2007-05-03,F,African American,EO,Not Special Ed,9,0.9722,180.0,5.0,,3.14,SED,Castlemont,
15891,2004-07-01,M,Latino,EL,Not Special Ed,12,0.5333,180.0,84.0,,1.0,SED,Castlemont,
15965,2006-08-10,F,African American,EO,Not Special Ed,10,0.9111,180.0,16.0,,2.5,SED,Castlemont,
16049,2005-05-03,M,Latino,EL,Not Special Ed,9,0.8889,63.0,7.0,,3.63,SED,Castlemont,
16096,2006-05-01,M,African American,EO,Special Ed,10,0.6735,147.0,48.0,,2.25,SED,Castlemont,
16309,2005-02-07,F,Latino,RFEP,Not Special Ed,11,0.8833,180.0,21.0,,3.86,SED,Castlemont,
16400,2005-12-18,F,Latino,TBD,Not Special Ed,9,0.9032,31.0,3.0,,0.0,Not SED,Castlemont,
16490,2004-01-23,F,Latino,EL,Not Special Ed,11,0.5714,28.0,12.0,,1.5,Not SED,Castlemont,
16521,2007-04-28,M,Latino,EL,Not Special Ed,9,0.9855,69.0,1.0,,2.0,Not SED,Castlemont,
16522,2007-04-28,M,Latino,EL,Not Special Ed,9,0.9855,69.0,1.0,,2.0,Not SED,Castlemont,
16634,2005-04-25,M,Latino,EL,Not Special Ed,11,0.2944,180.0,127.0,,0.0,SED,Castlemont,
16685,2005-12-26,M,Latino,RFEP,Not Special Ed,10,0.7872,94.0,20.0,,2.75,Not SED,Castlemont,
17359,2005-07-06,F,African American,EO,Not Special Ed,11,0.9056,180.0,17.0,,3.38,SED,Castlemont,
17400,2003-12-21,M,African American,EO,Not Special Ed,12,0.8,180.0,36.0,,2.17,SED,Castlemont,
17418,2005-10-20,F,African American,EO,Not Special Ed,11,0.7178,163.0,46.0,,2.0,SED,Castlemont,
17446,2004-12-25,M,African American,EO,Not Special Ed,11,0.5396,139.0,64.0,,0.0,Not SED,Castlemont,
17821,2007-03-26,F,Latino,EL,Special Ed,9,0.7611,180.0,43.0,,2.5,SED,Castlemont,
18410,2004-04-13,M,Latino,EL,Not Special Ed,9,0.5706,177.0,76.0,,0.0,SED,Castlemont,
18452,2003-12-12,M,Latino,EL,Not Special Ed,11,0.5511,176.0,79.0,,0.2,SED,Castlemont,
18516,2005-11-01,F,Latino,EL,Not Special Ed,10,0.8111,180.0,34.0,,2.88,SED,Castlemont,
18566,2006-08-19,F,Latino,EL,Not Special Ed,10,0.7989,179.0,36.0,,1.67,SED,Castlemont,
18567,2007-05-15,F,Latino,EL,Not Special Ed,9,0.8994,179.0,18.0,,3.5,SED,Castlemont,
18577,2004-08-31,M,Latino,EL,Not Special Ed,11,0.9611,180.0,7.0,,2.0,SED,Castlemont,
18681,2004-04-05,M,Latino,EL,Not Special Ed,9,0.8966,174.0,18.0,,3.13,Not SED,Castlemont,
18732,2005-05-26,F,Latino,EO,Not Special Ed,10,0.7667,180.0,42.0,,3.0,SED,Castlemont,
18742,2006-06-15,M,African American,EO,Not Special Ed,9,0.6627,166.0,56.0,,1.13,SED,Castlemont,
19043,2005-06-09,F,Latino,EL,Not Special Ed,10,0.7722,180.0,41.0,,3.38,SED,Castlemont,
19080,2003-12-15,M,Latino,EL,Not Special Ed,9,0.9106,179.0,16.0,,3.14,SED,Castlemont,
19108,2004-07-03,M,Latino,EL,Not Special Ed,9,0.8191,94.0,17.0,,1.38,Not SED,Castlemont,
19120,2005-07-25,M,Latino,EL,Not Special Ed,9,0.9767,86.0,2.0,,2.63,Not SED,Castlemont,
19121,2006-06-21,M,Latino,EL,Not Special Ed,9,0.8771,179.0,22.0,,1.5,SED,Castlemont,
19124,2003-09-23,M,Latino,EL,Not Special Ed,11,0.2936,109.0,77.0,,0.0,SED,Castlemont,
19150,2005-11-25,F,Latino,EL,Not Special Ed,10,0.95,180.0,9.0,,2.38,SED,Castlemont,
19158,2005-08-11,M,Latino,EL,Not Special Ed,10,0.9887,177.0,2.0,,2.63,SED,Castlemont,
19160,2004-11-26,M,Latino,EL,Not Special Ed,9,0.8261,161.0,28.0,,1.0,SED,Castlemont,
19525,2004-07-20,M,Latino,EL,Not Special Ed,10,0.6923,91.0,28.0,,0.0,SED,Castlemont,
19529,2006-11-14,F,Latino,EL,Not Special Ed,10,0.9667,180.0,6.0,,3.38,SED,Castlemont,
19763,2006-11-12,M,Latino,EL,Special Ed,10,1.0,4.0,0.0,,0.0,SED,Castlemont,
19809,2007-01-25,M,Latino,EL,Not Special Ed,9,0.9714,35.0,1.0,,0.0,Not SED,Castlemont,
19833,2006-07-05,M,Latino,EL,Special Ed,10,0.9091,176.0,16.0,,1.29,Not SED,Castlemont,
19881,2006-05-20,F,Latino,EO,Not Special Ed,10,0.85,180.0,27.0,1.0,1.5,SED,Castlemont,
20230,2007-03-02,M,Latino,EL,Not Special Ed,9,0.8889,27.0,3.0,,3.0,Not SED,Castlemont,
20288,2006-03-28,M,Multiple Ethnicity,EO,Not Special Ed,10,0.8722,180.0,23.0,,1.88,SED,Castlemont,
20303,2007-04-14,M,Multiple Ethnicity,EO,Special Ed,9,0.8444,180.0,28.0,1.0,1.4,SED,Castlemont,
20683,2003-10-16,M,Latino,EL,Not Special Ed,12,0.9222,180.0,14.0,,2.0,SED,Castlemont,
20882,2005-03-25,M,Latino,EL,Special Ed,10,0.2833,180.0,129.0,,1.0,Not SED,Castlemont,
20917,2003-06-01,F,Latino,EL,Not Special Ed,12,0.95,180.0,9.0,,4.0,SED,Castlemont,
20941,2005-08-19,M,Latino,EL,Special Ed,11,0.4778,180.0,94.0,,1.5,SED,Castlemont,
21150,2006-11-16,M,African American,EO,Special Ed,9,0.8722,180.0,23.0,,2.25,SED,Castlemont,
21349,2006-04-06,F,Latino,EL,Not Special Ed,10,0.0,2.0,2.0,,0.0,Not SED,Castlemont,
21582,2007-06-04,M,African American,EO,Not Special Ed,9,0.9944,178.0,1.0,,3.43,SED,Castlemont,
21663,2005-03-25,F,Latino,EL,Not Special Ed,11,0.9278,180.0,13.0,,3.13,SED,Castlemont,
21671,2007-11-05,F,Latino,EL,Special Ed,9,0.1167,180.0,159.0,,2.0,SED,Castlemont,
21739,2006-01-21,M,Latino,EO,Special Ed,10,0.6056,180.0,71.0,,0.6,SED,Castlemont,
21793,2005-03-21,F,Latino,TBD,Not Special Ed,9,0.9286,28.0,2.0,,0.0,Not SED,Castlemont,
21931,2004-04-25,M,Latino,EL,Not Special Ed,11,0.7889,180.0,38.0,,3.13,Not SED,Castlemont,
22125,2006-10-21,F,African American,EO,Not Special Ed,10,0.9719,178.0,5.0,,3.67,SED,Castlemont,
